"stage","response","term_type","term","estimate","std_error","t_value","F","edf","ref_df","p_value","adj_r2","dev_explained","n"
"Qtritos","Skew","smooth","s(q)",NA,NA,NA,1.06812523050797,1.00001457622615,1.00002915230979,0.305898132990985,0.0221341616900909,0.0727136749404928,59
"Qprotos","Mean","parametric","(Intercept)",0.487275526044047,0.0179911166558007,27.0842291429943,NA,NA,NA,9.7301544631355e-58,0.113885082836586,0.13234653299766,145
"Qprotos","Mean","parametric","tube5",-0.0188554473720507,0.0257444545515413,-0.732408112756924,NA,NA,NA,0.465135234731396,0.113885082836586,0.13234653299766,145
"Qprotos","Mean","parametric","tube8",0.00166087011760958,0.0304317406055072,0.0545769017664738,NA,NA,NA,0.956552795889508,0.113885082836586,0.13234653299766,145
"Qprotos","Mean","smooth","s(q)",NA,NA,NA,21.333335863907,1.00011744718712,1.00023488373346,8.90871293213191e-06,0.113885082836586,0.13234653299766,145
"Qprotos","CV","parametric","(Intercept)",0.259513696064548,0.0335766943668165,7.72898288406326,NA,NA,NA,5.31558665671123e-11,0.0714778366469254,0.109120764889901,75
"Qprotos","CV","parametric","tube5",0.0193710342559359,0.0483211897290076,0.400880739165809,NA,NA,NA,0.689711795290015,0.0714778366469254,0.109120764889901,75
"Qprotos","CV","parametric","tube8",-0.090164951581615,0.0733704511262811,-1.22890005714192,NA,NA,NA,0.223166816328144,0.0714778366469254,0.109120764889901,75
"Qprotos","CV","smooth","s(q)",NA,NA,NA,6.19211578164443,1.00001098511309,1.0000219701333,0.0151794146959205,0.0714778366469254,0.109120764889901,75
"Qprotos","Skew","parametric","(Intercept)",-0.722731598526631,0.24599629146143,-2.93797761841442,NA,NA,NA,0.00591768651135792,0.158964954632131,0.23288666301895,38
"Qprotos","Skew","parametric","tube5",0.937919639747586,0.332814809642232,2.81814274057043,NA,NA,NA,0.00801897698204784,0.158964954632131,0.23288666301895,38
"Qprotos","Skew","parametric","tube8",0.0791727024032845,0.736955634793584,0.107432114859208,NA,NA,NA,0.915082330807093,0.158964954632131,0.23288666301895,38
"Qprotos","Skew","smooth","s(q)",NA,NA,NA,0.215781678284912,1.25206806229575,1.46084696069565,0.658245673209794,0.158964954632131,0.23288666301895,38
"Qlarvae","Mean","parametric","(Intercept)",0.523807328360583,0.0168500135861134,31.0864632650664,NA,NA,NA,7.62693477983173e-68,0.0409631051229156,0.0693546351187262,158
